车辆编号,进入时刻 (秒),速度 (米/秒),离开时刻 (秒),停留时间
214,1076.62,12.92,1115.33,38.71
215,1081.51,11.43,1125.26,43.75
216,1086.91,14.34,1121.77,34.86
217,1092.14,10.37,1140.36,48.22
218,1097.15,12.77,1136.31,39.16
219,1102.18,13.15,1140.21,38.03
220,1107.67,13.48,1144.77,37.10
221,1114.83,12.92,1153.52,38.69
222,1119.06,14.51,1153.53,34.47
223,1126.25,11.39,1170.16,43.91
224,1130.44,10.94,1176.14,45.70
225,1133.32,12.92,1172.02,38.70
226,1137.79,10.39,1185.92,48.13
227,1143.13,11.55,1186.43,43.30
228,1150.01,14.07,1185.55,35.54
229,1154.11,14.55,1188.46,34.35
230,1159.60,14.11,1195.03,35.43
231,1163.28,14.66,1197.38,34.10
232,1170.11,14.33,1205.00,34.89
233,1176.29,14.94,1209.77,33.48
234,1180.82,10.75,1227.33,46.50
235,1184.11,14.85,1217.78,33.67
236,1190.46,14.21,1225.65,35.19
237,1195.35,12.07,1236.76,41.41
238,1201.59,11.37,1245.57,43.99
239,1206.59,13.84,1242.71,36.11
240,1211.64,14.72,1245.60,33.96
241,1216.19,12.25,1257.00,40.81
242,1221.81,10.65,1268.78,46.97
243,1226.93,11.14,1271.80,44.87
244,1232.45,13.36,1269.88,37.43
245,1235.91,10.57,1283.23,47.31
246,1242.19,13.36,1279.62,37.43
247,1248.74,12.60,1288.42,39.68
248,1253.86,14.26,1288.92,35.06
249,1260.92,14.38,1295.68,34.76
250,1267.67,12.02,1309.28,41.61
251,1273.32,13.52,1310.30,36.98
252,1279.69,11.06,1324.88,45.19
253,1285.75,11.96,1327.55,41.80
254,1288.99,12.19,1330.01,41.03
255,1293.72,12.57,1333.50,39.78
256,1299.44,13.92,1335.36,35.92
257,1306.06,14.31,1341.00,34.94
258,1309.68,14.75,1343.59,33.90
259,1312.98,12.30,1353.65,40.66
260,1317.93,14.90,1351.48,33.56
261,1320.86,13.17,1358.83,37.97
262,1325.77,11.20,1370.41,44.64
263,1331.14,10.91,1376.97,45.83
264,1335.20,11.73,1377.83,42.63
265,1340.13,13.34,1377.62,37.49
266,1346.09,10.86,1392.12,46.03
267,1350.56,10.89,1396.49,45.93
268,1354.77,10.44,1402.64,47.88
269,1359.66,11.03,1404.98,45.32
270,1363.62,11.82,1405.92,42.30
271,1370.59,10.20,1419.62,49.04
272,1375.62,14.00,1411.34,35.72
273,1379.92,14.37,1414.72,34.80
274,1385.14,14.60,1419.37,34.24
275,1390.02,14.03,1425.66,35.64
276,1394.80,13.74,1431.19,36.39
277,1399.27,11.85,1441.46,42.19
278,1403.70,12.42,1443.95,40.25
279,1407.18,12.31,1447.79,40.61
280,1413.55,13.74,1449.95,36.40
281,1419.13,12.56,1458.94,39.81
282,1424.44,12.66,1463.93,39.49
283,1429.31,12.66,1468.79,39.48
284,1433.35,11.21,1477.95,44.59
285,1437.60,10.10,1487.10,49.50
286,1441.17,11.61,1484.24,43.06
287,1445.53,10.60,1492.70,47.18
288,1449.45,14.45,1484.04,34.60
289,1456.13,13.95,1491.99,35.85
290,1462.02,12.49,1502.04,40.02
291,1467.09,12.93,1505.75,38.66
292,1471.23,13.73,1507.66,36.42
293,1475.19,11.42,1518.98,43.79
294,1480.00,11.82,1522.32,42.32
295,1485.93,11.78,1528.37,42.44
296,1492.84,14.93,1526.32,33.48
297,1496.44,10.51,1544.02,47.58
298,1502.00,10.76,1548.45,46.45
299,1506.35,10.93,1552.09,45.73
300,1510.87,11.43,1554.63,43.76
301,1515.91,12.05,1557.40,41.49
302,1520.08,14.91,1553.61,33.53
303,1524.84,14.85,1558.52,33.68
304,1528.94,14.33,1563.84,34.90
305,1533.36,10.85,1579.42,46.06
306,1539.12,13.34,1576.59,37.47
307,1544.22,12.86,1583.10,38.89
308,1549.97,11.40,1593.83,43.86
309,1554.30,11.62,1597.34,43.04
310,1559.87,12.13,1601.10,41.23
311,1563.25,10.57,1610.53,47.28
312,1568.30,13.05,1606.60,38.31
